episode,task_id,epsilon,steps,total_reward,mean_td_loss
240,hard_mass_casualty,0.2782,60,-20.0175,0.132829
241,easy_small_clinic,0.2779,20,0.9475,0.016307
242,medium_busy_opd,0.2776,40,-11.7459,0.297597
243,hard_mass_casualty,0.2773,60,-6.8213,0.053239
244,easy_small_clinic,0.277,20,0.368,0.009143
245,medium_busy_opd,0.2767,40,1.8994,0.025912
246,hard_mass_casualty,0.2764,60,-13.5484,0.178086
247,easy_small_clinic,0.2761,20,2.045,0.014235
248,medium_busy_opd,0.2758,40,-7.3467,0.056862
249,hard_mass_casualty,0.2755,60,-3.9572,0.039892
250,easy_small_clinic,0.2752,20,2.2225,0.034247
251,medium_busy_opd,0.2749,40,-3.2935,0.030325
252,hard_mass_casualty,0.2746,60,-37.1077,0.740538
253,easy_small_clinic,0.2743,20,1.315,0.007395
254,medium_busy_opd,0.274,40,-4.1718,0.037074
255,hard_mass_casualty,0.2737,60,-13.2879,0.076543
256,easy_small_clinic,0.2734,20,1.895,0.015183
257,medium_busy_opd,0.2731,40,-1.3285,0.014568
258,hard_mass_casualty,0.2728,60,-14.6371,0.065877
259,easy_small_clinic,0.2725,20,1.59,0.010696
260,medium_busy_opd,0.2722,40,-1.3304,0.020085
261,hard_mass_casualty,0.2719,60,-12.5335,0.063504
262,easy_small_clinic,0.2716,20,1.8975,0.014506
263,medium_busy_opd,0.2713,40,-7.0996,0.158947
264,hard_mass_casualty,0.271,60,-20.4655,0.226437
265,easy_small_clinic,0.2707,20,0.7575,0.031439
266,medium_busy_opd,0.2704,40,-4.6718,0.039932
267,hard_mass_casualty,0.2701,60,-11.4782,0.108786
268,easy_small_clinic,0.2698,20,-1.55,0.053971
269,medium_busy_opd,0.2695,40,-4.8556,0.125019
270,hard_mass_casualty,0.2692,60,-3.6642,0.105895
271,easy_small_clinic,0.2689,20,1.25,0.005334
272,medium_busy_opd,0.2686,40,0.3427,0.014954
273,hard_mass_casualty,0.2683,60,-11.213,0.069843
274,easy_small_clinic,0.268,20,2.0525,0.018339
275,medium_busy_opd,0.2677,40,-6.0235,0.078743
276,hard_mass_casualty,0.2674,60,-2.3648,0.008562
277,easy_small_clinic,0.2671,20,0.705,0.046147
278,medium_busy_opd,0.2668,40,-11.0185,0.211584
279,hard_mass_casualty,0.2665,60,0.6669,0.015585
280,easy_small_clinic,0.2662,20,1.1925,0.008278
281,medium_busy_opd,0.2659,40,-5.9227,0.078113
282,hard_mass_casualty,0.2656,60,-11.5297,0.077109
283,easy_small_clinic,0.2653,20,0.367,0.04044
284,medium_busy_opd,0.265,40,0.0227,0.025915
285,hard_mass_casualty,0.2647,60,-12.2934,0.098303
286,easy_small_clinic,0.2644,20,-1.73,0.103101
287,medium_busy_opd,0.2641,40,-5.6485,0.032239
288,hard_mass_casualty,0.2638,60,-3.9262,0.037807
289,easy_small_clinic,0.2635,20,1.66,0.007274
290,medium_busy_opd,0.2632,40,-0.2842,0.025378
291,hard_mass_casualty,0.2629,60,-5.9122,0.065143
292,easy_small_clinic,0.2626,20,1.3325,0.005485
293,medium_busy_opd,0.2623,40,-2.6723,0.110006
294,hard_mass_casualty,0.262,60,-6.5676,0.041448
295,easy_small_clinic,0.2617,20,1.8725,0.030686
296,medium_busy_opd,0.2614,40,-9.9162,0.23884
297,hard_mass_casualty,0.2611,60,-3.59,0.052654
